"Species","AphiaID","isMarine","isBrackish","isFreshwater","isTerrestrial","is_non_marine"
"Astericola clausii",349022,TRUE,FALSE,FALSE,FALSE,FALSE
"Plagioselmis prolonga",106303,TRUE,NA,NA,NA,FALSE
"Glauconema trihymene",427062,TRUE,FALSE,FALSE,FALSE,FALSE
"Blidingia minima",145950,TRUE,TRUE,NA,NA,FALSE
"Gyrodinium jinhaense",1780432,TRUE,FALSE,FALSE,FALSE,FALSE
"Hydractinia symbiolongicarpus",284904,TRUE,NA,NA,FALSE,FALSE
"Licmophora flabellata",157064,TRUE,FALSE,FALSE,FALSE,FALSE
"Centropages typicus",104499,TRUE,FALSE,FALSE,FALSE,FALSE
"Bacteriastrum jadranum",764850,TRUE,NA,NA,FALSE,FALSE
"Prosthiostomum siphunculus",142842,TRUE,NA,NA,NA,FALSE
"Litoditis marina",760681,TRUE,TRUE,TRUE,FALSE,FALSE
"Chaetoceros diadema",149128,TRUE,NA,NA,FALSE,FALSE
"Acartia clausii",416523,TRUE,NA,NA,NA,FALSE
"Tripos macroceros",841260,TRUE,NA,NA,NA,FALSE
"Obelia dichotoma",117386,TRUE,FALSE,FALSE,FALSE,FALSE
"Isias clavipes",104501,TRUE,FALSE,FALSE,FALSE,FALSE
"Strombidinopsis acuminata",101350,TRUE,FALSE,FALSE,FALSE,FALSE
"Annulonemertes minusculus",122811,TRUE,NA,NA,NA,FALSE
"Ameira scotti",115525,TRUE,FALSE,FALSE,FALSE,FALSE
"Thraustochytrium kinnei",119121,TRUE,NA,NA,NA,FALSE
"Laodicea undulata",117725,TRUE,FALSE,FALSE,FALSE,FALSE
"Clytia hemisphaerica",117368,TRUE,FALSE,FALSE,FALSE,FALSE
"Mediolabrus comicus",1728736,NA,TRUE,NA,NA,FALSE
"Grammatodinium tongyeonginum",1306117,TRUE,NA,NA,NA,FALSE
"Heterohartmannula fangi",NA,NA,NA,NA,NA,NA
"Hesionura elongata",130649,TRUE,FALSE,FALSE,FALSE,FALSE
"Fallopia convolvulus",NA,NA,NA,NA,NA,NA
"Dysteria derouxi",388764,TRUE,FALSE,FALSE,FALSE,FALSE
"Paraphysomonas foraminifera",428752,TRUE,NA,NA,NA,FALSE
"Striatella unipunctata",149177,TRUE,NA,FALSE,FALSE,FALSE
"Limaria hians",140235,TRUE,NA,NA,NA,FALSE
"Protodrilus pythonius",744904,TRUE,NA,NA,NA,FALSE
"Aegyriana oliva",427205,TRUE,FALSE,FALSE,FALSE,FALSE
"Crisia denticulata",111695,TRUE,FALSE,FALSE,FALSE,FALSE
"Pleurosigma planctonicum",231883,TRUE,NA,NA,NA,FALSE
"Bacillaria paxillifer",149149,TRUE,NA,NA,NA,FALSE
"Hydroides elegans",131002,TRUE,FALSE,FALSE,FALSE,FALSE
"Navicula perminuta",172731,TRUE,FALSE,TRUE,FALSE,FALSE
"Dinovorax pyriformis",1731853,TRUE,NA,NA,NA,FALSE
"Hypocoma acinetarum",134896,TRUE,FALSE,FALSE,FALSE,FALSE
"Tintinnopsis parvula",417153,TRUE,NA,FALSE,FALSE,FALSE
"Chaetoceros costatus",149289,TRUE,NA,NA,FALSE,FALSE
"Aspidisca steini",417106,TRUE,FALSE,FALSE,FALSE,FALSE
"Acartia tonsa",104262,TRUE,FALSE,FALSE,FALSE,FALSE
"Dasybranchus caducus",129881,TRUE,FALSE,FALSE,FALSE,FALSE
