"Country","Site","Species","Marker","n_biosamples_positive","total_biosamples_at_site","n_pcr_positive","total_pcr_at_site","theta","p_empirical","mean_p_pcr","confidence_score","total_reads","total_reads_at_site","prop_reads","pcr_distribution","pcr_spread_ratio","Reliable"
"Spain","Spain_2","Microcosmus squamiger","COI",1,3,1,9,0.333333333333333,0.111111111111111,0.333333333333333,0.1,59,701750,8.40755254720342e-05,"1",1,"Unreliable"
"Spain","Spain_2","Watersipora subatra","12S",1,3,1,8,0.333333333333333,0.125,0.5,0.1,4,292765,1.36628353799122e-05,"1",1,"Unreliable"
"Spain","Spain_3","Watersipora subatra","12S",3,3,9,9,1,1,1,1,17828,273983,0.0650697306037236,"9",1,"Reliable"
"Spain","Spain_3","Austrominius modestus","COI",1,3,3,9,0.333333333333333,0.333333333333333,1,0.35,591,1175790,0.000502640777689894,"3",1,"Unreliable"
"Spain","Spain_4","Watersipora subatra","12S",3,3,6,9,1,0.666666666666667,0.666666666666667,0.9,347,82590,0.00420147717641361,"6",1,"Reliable"
"Spain","Spain_5","Watersipora subatra","12S",2,3,2,9,0.666666666666667,0.222222222222222,0.333333333333333,0.65,105,244218,0.000429943738790753,"2",1,"Marginal"
"Spain","Spain_6","Hydroides elegans","18S",3,3,9,9,1,1,1,1,13155,1165629,0.011285752156132,"9",1,"Reliable"
"Spain","Spain_7","Watersipora subatra","12S",2,3,2,9,0.666666666666667,0.222222222222222,0.333333333333333,0.65,173,116059,0.00149062114958771,"2",1,"Marginal"
"Spain","Spain_7","Hydroides elegans","18S",2,2,6,6,1,1,1,1,4180,337356,0.0123904717864808,"6",1,"Reliable"
"Spain","Spain_8","Amathia verticillata","12S",1,3,3,9,0.333333333333333,0.333333333333333,1,0.35,175,426973,0.000409861981905179,"3",1,"Unreliable"
"UK","UK_1","Neogobius melanostomus","12S",1,3,1,9,0.333333333333333,0.111111111111111,0.333333333333333,0.1,14,80671,0.000173544396375401,"1",1,"Unreliable"
"UK","UK_2","Austrominius modestus","COI",1,2,1,6,0.5,0.166666666666667,0.333333333333333,0.1,304,1087085,0.000279646945731015,"1",1,"Unreliable"
